Gallons,Time (s),Pumping Rate,Ads,Brand
14.2,90,9.467,Y,Shell
13.9,92,9.065,Y,Shell
13.8,92,9.000,Y,Exxon
8.1,51.7,9.400,Y,Shell
11,88.5,7.458,Y,Valero
13.4,103,7.806,Y,Exxon
13.7,203.5,4.039,Y,Shell
10.1,68.9,8.795,Y,Valero
13.8,87.6,9.452,N,Shell
11.3,81,8.370,N,Valero
10.1,67.8,8.938,N,Shell
14.9,94.1,9.501,Y,Shell
14.6,95.5,9.173,N,Valero
13.4,88.1,9.126,N,Valero
10.5,75.5,8.344,N,Valero
14.9,96.8,9.236,N,Shell
14.7,100,8.820,N,Chevron
14.8,96.9,9.164,N,Exxon
9.1,78.8,6.929,Y,Valero
14.3,115,7.461,N,Racetrac
13.9,115.3,7.233,N,Exxon
13.5,89,9.101,N,Exxon
14.8,98.1,9.052,N,Exxon
15.2,101.5,8.985,N,Exxon
14.6,104.4,8.391,N,Chevron
11.9,97.4,7.331,Y,Exxon
15.1,131.6,6.884,N,Chevron
11.9,153.5,4.651,N,Shell
14.1,90.5,9.348,Y,Valero
13.5,98.7,8.207,N,Chevron
12.2,81,9.037,N,Exxon
12.8,85.3,9.004,N,Exxon
12.85,88.3,8.732,N,Exxon
14.2,91.7,9.291,Y,Valero
13.7,89.2,9.215,N,Exxon
15,94,9.574,N,Exxon
14.6,94,9.319,N,Exxon
17.4,108,9.667,N,Exxon
17.5,108,9.722,N,Exxon
16.6,105,9.486,N,Exxon
13.1,71,11.070,Y,Shell
12.6,85.1,8.884,N,Exxon
14.5,154.7,5.624,N,Exxon
14.8,149.2,5.952,N,Exxon
13.5,93.1,8.700,Y,Exxon
9.91,71.3,8.339,N,Chevron
13.3,83.8,9.523,N,Valero
14.2,105.7,8.061,N,Chevon
14.4,95.6,9.038,N,QT
12.5,89.7,8.361,N,Exxon
8.5,61.2,8.333,N,Valero
14.7,100.5,8.776,Y,Chevon
10.7,76.7,8.370,N,Chevron
10,68.8,8.721,N,Valero
11.8,81.7,8.666,Y,Exxon
8.5,78.4,6.505,N,Shell
11.3,72.2,9.391,Y,Shell
15,94.7,9.504,N,Valero
10.7,77.1,8.327,N,Exxon
15.3,104.9,8.751,N,Exxon
14.8,94.3,9.417,Y,Valero
